ad_id,time,total_persons,person id,counted,age,gender
ad1.mp4,1/20/2025 13:53,2,15,TRUE,50,Woman
street.mp4,1/20/2025 13:54,2,15,TRUE,22,Woman
street.mp4,1/20/2025 13:54,2,16,TRUE,58,Woman
ad1.mp4,1/20/2025 13:56,1,16,TRUE,38,Woman
street.mp4,1/20/2025 13:57,1,16,TRUE,24,Woman
ad1.mp4,1/20/2025 14:00,4,16,TRUE,54,Woman
ad1.mp4,1/20/2025 14:00,4,17,TRUE,24,Woman
ad1.mp4,1/20/2025 14:00,4,18,TRUE,59,Woman
ad1.mp4,1/20/2025 14:00,4,19,TRUE,42,Woman
street.mp4,1/20/2025 14:01,1,16,TRUE,30,Woman
ad1.mp4,1/20/2025 14:03,1,16,TRUE,36,Woman
street.mp4,1/20/2025 14:04,1,16,TRUE,47,Woman
ad1.mp4,1/20/2025 14:06,1,16,TRUE,38,Woman
street.mp4,1/20/2025 14:08,1,16,TRUE,36,Woman
ad1.mp4,1/20/2025 14:10,1,16,TRUE,27,Woman
street.mp4,1/20/2025 14:11,1,16,TRUE,18,Woman
ad1.mp4,1/20/2025 14:13,1,16,TRUE,43,Woman
street.mp4,1/20/2025 14:14,1,16,TRUE,23,Woman
ad1.mp4,1/20/2025 14:16,1,16,TRUE,31,Woman
street.mp4,1/20/2025 14:17,5,16,TRUE,28,Woman
street.mp4,1/20/2025 14:17,5,20,TRUE,29,Woman
street.mp4,1/20/2025 14:17,5,21,TRUE,22,Woman
street.mp4,1/20/2025 14:17,5,22,TRUE,48,Woman
street.mp4,1/20/2025 14:17,5,23,TRUE,35,Woman
ad1.mp4,1/20/2025 14:19,1,16,TRUE,51,Woman
street.mp4,1/20/2025 14:20,1,16,TRUE,33,Woman
ad1.mp4,1/20/2025 14:23,1,16,TRUE,21,Woman
street.mp4,1/20/2025 14:24,1,16,TRUE,43,Woman
ad1.mp4,1/20/2025 14:29,1,16,TRUE,22,Woman
street.mp4,1/20/2025 14:30,3,16,TRUE,49,Woman
street.mp4,1/20/2025 14:30,3,24,TRUE,25,Woman
street.mp4,1/20/2025 14:30,3,25,TRUE,30,Woman
ad1.mp4,1/20/2025 14:32,2,24,TRUE,54,Woman
ad1.mp4,1/20/2025 14:32,2,25,TRUE,40,Woman
street.mp4,1/20/2025 14:33,2,25,TRUE,23,Woman
street.mp4,1/20/2025 14:33,2,26,TRUE,49,Woman
ad1.mp4,1/20/2025 14:36,3,26,TRUE,27,Woman
ad1.mp4,1/20/2025 14:36,3,25,TRUE,50,Woman
ad1.mp4,1/20/2025 14:36,3,27,TRUE,26,Woman
street.mp4,1/20/2025 14:37,3,26,TRUE,52,Woman
street.mp4,1/20/2025 14:37,3,27,TRUE,33,Woman
street.mp4,1/20/2025 14:37,3,28,TRUE,30,Woman
ad1.mp4,1/20/2025 14:39,8,26,TRUE,26,Woman
ad1.mp4,1/20/2025 14:39,8,28,TRUE,47,Woman
ad1.mp4,1/20/2025 14:39,8,27,TRUE,39,Woman
ad1.mp4,1/20/2025 14:39,8,29,TRUE,52,Woman
ad1.mp4,1/20/2025 14:39,8,30,TRUE,59,Woman
ad1.mp4,1/20/2025 14:39,8,31,TRUE,26,Woman
ad1.mp4,1/20/2025 14:39,8,32,TRUE,34,Woman
ad1.mp4,1/20/2025 14:39,8,33,TRUE,45,Woman
street.mp4,1/20/2025 14:40,3,26,TRUE,25,Woman
street.mp4,1/20/2025 14:40,3,36,TRUE,56,Woman
street.mp4,1/20/2025 14:40,3,37,TRUE,28,Woman
ad1.mp4,1/20/2025 14:42,1,36,TRUE,49,Woman
street.mp4,1/20/2025 14:43,1,36,TRUE,41,Woman
ad1.mp4,1/20/2025 14:45,1,36,TRUE,49,Woman
street.mp4,1/20/2025 14:46,2,36,TRUE,26,Woman
street.mp4,1/20/2025 14:46,2,38,TRUE,45,Woman
ad1.mp4,1/20/2025 14:48,1,36,TRUE,37,Woman
street.mp4,1/20/2025 17:04,1,1,TRUE,53,Woman
ad1.mp4,1/20/2025 17:07,1,1,TRUE,55,Woman
street.mp4,1/20/2025 17:10,6,1,TRUE,19,Woman
street.mp4,1/20/2025 17:10,6,2,TRUE,59,Woman
street.mp4,1/20/2025 17:10,6,3,TRUE,23,Woman
street.mp4,1/20/2025 17:10,6,4,TRUE,48,Woman
street.mp4,1/20/2025 17:10,6,5,TRUE,54,Woman
street.mp4,1/20/2025 17:10,6,6,TRUE,36,Woman
street.mp4,1/20/2025 17:10,6,7,TRUE,38,Woman
street.mp4,1/20/2025 17:10,6,8,TRUE,55,Woman
street.mp4,1/20/2025 17:40,1,1,TRUE,29,Woman
ad1.mp4,1/20/2025 17:43,1,1,TRUE,34,Woman
street.mp4,1/20/2025 17:44,1,1,TRUE,58,Woman
ad1.mp4,1/20/2025 17:47,1,1,TRUE,18,Woman
street.mp4,1/20/2025 17:47,1,1,TRUE,19,Woman
ad1.mp4,1/20/2025 17:50,1,2,TRUE,54,Woman
street.mp4,1/20/2025 17:51,1,2,TRUE,34,Woman
ad1.mp4,1/20/2025 17:53,2,2,TRUE,26,Woman
ad1.mp4,1/20/2025 17:53,2,3,TRUE,38,Woman
street.mp4,1/20/2025 17:54,1,3,TRUE,36,Woman
ad1.mp4,1/20/2025 17:57,3,3,TRUE,54,Woman
ad1.mp4,1/20/2025 17:57,3,4,TRUE,22,Woman
ad1.mp4,1/20/2025 17:57,3,5,TRUE,25,Woman
street.mp4,1/20/2025 17:57,1,5,TRUE,33,Woman
ad1.mp4,1/20/2025 17:59,1,5,TRUE,19,Woman
street.mp4,1/20/2025 18:01,1,5,TRUE,27,Woman
ad1.mp4,1/20/2025 18:03,1,5,TRUE,32,Woman
ad1.mp4,1/20/2025 18:03,1,1,TRUE,24,Man
street.mp4,1/20/2025 18:04,1,5,TRUE,57,Woman
ad1.mp4,1/20/2025 18:05,4,5,TRUE,32,Woman
ad1.mp4,1/20/2025 18:05,4,6,TRUE,29,Man
ad1.mp4,1/20/2025 18:05,4,7,TRUE,43,Woman
ad1.mp4,1/20/2025 18:05,4,8,TRUE,30,Man
